max_depth,learning_rate,min_child_weight,n_estimators,recall_5fpr,pr_auc,minutes
4,0.1,10,232,0.5478384124734231,0.19052775229401145,0.6507160703341166
4,0.1,1,221,0.5464209780297661,0.19108708444950862,0.6322428266207377
4,0.05,1,394,0.5450035435861091,0.19439575216435478,1.085709313551585
8,0.05,10,157,0.5450035435861091,0.18615884252568835,0.7534800012906392
4,0.05,10,325,0.5442948263642806,0.19467607264534253,0.8052972714106242
6,0.1,10,105,0.5442948263642806,0.18318406893404804,0.5410584211349487
6,0.1,1,108,0.5435861091424522,0.1758538660802781,0.5042924563090007
6,0.05,1,259,0.5435861091424522,0.18767292615672782,0.8463739275932312
6,0.05,10,180,0.5414599574769667,0.19269183898103287,0.6783419410387675
8,0.05,1,141,0.5393338058114813,0.18132058463232392,0.743112059434255
8,0.1,10,68,0.5372076541459957,0.17772284118477794,0.4831519405047099
8,0.1,1,81,0.5287030474840538,0.1709968137241277,0.5400599082310994
